seconds,hours,Date & Time, Pressure (mBar), Weight (g),dv,dt,Flux (LMH),,,Surface area (m2),0.011545353,
20058,5.571666667,10-08-22 11:11:18,87.28,443.14,0.31,0.001388889,19.33245195,,,,,
20063,5.573055556,10-08-22 11:11:23,74.87,443.56,0.42,0.001388889,26.19235426,,,,,
20068,5.574444444,10-08-22 11:11:28,91,443.88,0.32,0.001388888,19.9560938,,,,,
20073,5.575833333,10-08-22 11:11:33,83.56,444.24,0.36,0.001388889,22.45058936,,,,,
20078,5.577222222,10-08-22 11:11:39,86.04,444.66,0.42,0.001388889,26.19235426,,,,,
20084,5.578888889,10-08-22 11:11:44,89.76,444.95,0.29,0.001666667,15.07099568,,,,,
20089,5.580277778,10-08-22 11:11:49,77.35,445.38,0.43,0.001388889,26.81598174,,,,,
20094,5.581666667,10-08-22 11:11:54,91,445.71,0.33,0.001388889,20.57970692,,,,,
20099,5.583055556,10-08-22 11:11:59,84.8,446.05,0.34,0.001388889,21.2033344,,,,,
20104,5.584444444,10-08-22 11:12:04,83.56,446.47,0.42,0.001388888,26.19237312,,,,,
20110,5.586111111,10-08-22 11:12:10,89.76,446.77,0.3,0.001666667,15.59068519,,,,,
20115,5.5875,10-08-22 11:12:15,77.35,447.18,0.41,0.001388889,25.56872678,,,,,
20120,5.588888889,10-08-22 11:12:20,92.25,447.53,0.35,0.001388889,21.82696188,,,,,
20125,5.590277778,10-08-22 11:12:25,86.04,447.84,0.31,0.001388889,19.33245195,,,,,
20130,5.591666667,10-08-22 11:12:30,79.83,448.29,0.45,0.001388889,28.0632367,,,,,
20135,5.593055556,10-08-22 11:12:36,92.25,448.6,0.31,0.001388889,19.33245195,,,,,
20141,5.594722222,10-08-22 11:12:41,79.83,448.98,0.38,0.001666666,19.74821309,,,,,
20146,5.596111111,10-08-22 11:12:46,89.76,449.35,0.37,0.001388889,23.07421685,,,,,
20151,5.5975,10-08-22 11:12:51,87.28,449.67,0.32,0.001388889,19.95607943,,,,,
20156,5.598888889,10-08-22 11:12:56,78.59,450.1,0.43,0.001388889,26.81598174,,,,,
20161,5.600277778,10-08-22 11:13:01,92.25,450.4,0.3,0.001388889,18.70882447,,,,,
20166,5.601666667,10-08-22 11:13:07,81.07,450.78,0.38,0.001388889,23.69784433,,,,,
20172,5.603333333,10-08-22 11:13:12,89.76,451.17,0.39,0.001666666,20.2679029,,,,,
20177,5.604722222,10-08-22 11:13:17,88.52,451.47,0.3,0.001388889,18.70882447,,,,,
20182,5.606111111,10-08-22 11:13:22,76.11,451.91,0.44,0.001388889,27.43960922,,,,,
20187,5.6075,10-08-22 11:13:27,91,452.23,0.32,0.001388889,19.95607943,,,,,
20192,5.608888889,10-08-22 11:13:33,82.32,452.6,0.37,0.001388889,23.07421685,,,,,
20198,5.610555556,10-08-22 11:13:38,46.32,452.9,0.3,0.001666667,15.59068519,,,,,
20203,5.611944444,10-08-22 11:13:43,0.4,451.56,-1.34,0.001388888,-83.5661428,,,,,
20208,5.613333333,10-08-22 11:13:48,-2.09,449.34,-2.22,0.001388889,-138.4453011,,,,,
20213,5.614722222,10-08-22 11:13:53,-2.09,447.09,-2.25,0.001388889,-140.3161835,,,,,
20218,5.616111111,10-08-22 11:13:58,-2.09,444.81,-2.28,0.001388889,-142.187066,,,,,
20223,5.6175,10-08-22 11:14:04,-3.33,442.62,-2.19,0.001388889,-136.5744186,,,,,
20229,5.619166667,10-08-22 11:14:09,-3.33,440.32,-2.3,0.001666667,-119.5285864,,,,,
20234,5.620555556,10-08-22 11:14:14,51.29,438.43,-1.89,0.001388889,-117.8655942,,,,,
20239,5.621944444,10-08-22 11:14:19,83.56,438.44,0.01,0.001388888,0.623627931,,,,,
20244,5.623333333,10-08-22 11:14:24,84.8,438.71,0.27,0.001388889,16.83794202,,,,,
20249,5.624722222,10-08-22 11:14:30,74.87,439.15,0.44,0.001388889,27.43960922,,,,,
20255,5.626388889,10-08-22 11:14:35,87.28,439.46,0.31,0.001666667,16.11037469,,,,,
20260,5.627777778,10-08-22 11:14:40,79.83,439.84,0.38,0.001388889,23.69784433,,,,,
20265,5.629166667,10-08-22 11:14:45,83.56,440.25,0.41,0.001388889,25.56872678,,,,,
20270,5.630555556,10-08-22 11:14:50,84.8,440.55,0.3,0.001388889,18.70882447,,,,,
20275,5.631944444,10-08-22 11:14:55,73.63,441,0.45,0.001388888,28.06325691,,,,,
20280,5.633333333,10-08-22 11:15:01,87.28,441.32,0.32,0.001388889,19.95607943,,,,,
20286,5.635,10-08-22 11:15:06,82.32,441.67,0.35,0.001666667,18.18913272,,,,,
20291,5.636388889,10-08-22 11:15:11,83.56,442.1,0.43,0.001388889,26.81598174,,,,,
20296,5.637777778,10-08-22 11:15:16,86.04,442.4,0.3,0.001388889,18.70882447,,,,,
20301,5.639166667,10-08-22 11:15:21,73.63,442.84,0.44,0.001388889,27.43960922,,,,,
20306,5.640555556,10-08-22 11:15:26,87.28,443.17,0.33,0.001388889,20.57970692,,,,,
20311,5.641944444,10-08-22 11:15:32,82.32,443.52,0.35,0.001388888,21.8269776,,,,,
20317,5.643611111,10-08-22 11:15:37,81.07,443.95,0.43,0.001666667,22.34664877,,,,,
20322,5.645,10-08-22 11:15:42,87.28,444.24,0.29,0.001388889,18.08519699,,,,,
20327,5.646388889,10-08-22 11:15:47,74.87,444.67,0.43,0.001388889,26.81598174,,,,,
20332,5.647777778,10-08-22 11:15:52,87.28,445.02,0.35,0.001388889,21.82696188,,,,,
20337,5.649166667,10-08-22 11:15:58,83.56,445.35,0.33,0.001388889,20.57970692,,,,,
20343,5.650833333,10-08-22 11:16:03,77.35,445.81,0.46,0.001666666,23.90573163,,,,,
20348,5.652222222,10-08-22 11:16:08,88.52,446.1,0.29,0.001388889,18.08519699,,,,,
20353,5.653611111,10-08-22 11:16:13,77.35,446.51,0.41,0.001388889,25.56872678,,,,,
20358,5.655,10-08-22 11:16:18,88.52,446.88,0.37,0.001388889,23.07421685,,,,,
20363,5.656388889,10-08-22 11:16:23,84.8,447.2,0.32,0.001388889,19.95607943,,,,,
20368,5.657777778,10-08-22 11:16:29,76.11,447.66,0.46,0.001388889,28.68686419,,,,,
20374,5.659444444,10-08-22 11:16:34,89.76,447.95,0.29,0.001666666,15.07100472,,,,,
20379,5.660833333,10-08-22 11:16:39,78.59,448.35,0.4,0.001388889,24.94509929,,,,,
20384,5.662222222,10-08-22 11:16:44,87.28,448.74,0.39,0.001388889,24.32147181,,,,,
20389,5.663611111,10-08-22 11:16:49,84.8,449.05,0.31,0.001388889,19.33245195,,,,,
20394,5.665,10-08-22 11:16:55,74.87,449.5,0.45,0.001388889,28.0632367,,,,,
20400,5.666666667,10-08-22 11:17:00,89.76,449.81,0.31,0.001666667,16.11037469,,,,,
20405,5.668055556,10-08-22 11:17:05,79.83,450.18,0.37,0.001388889,23.07421685,,,,,
20410,5.669444444,10-08-22 11:17:10,84.8,450.59,0.41,0.001388888,25.56874519,,,,,
20415,5.670833333,10-08-22 11:17:15,87.28,450.89,0.3,0.001388889,18.70882447,,,,,
20420,5.672222222,10-08-22 11:17:20,73.63,451.32,0.43,0.001388889,26.81598174,,,,,
20425,5.673611111,10-08-22 11:17:26,92.25,451.64,0.32,0.001388889,19.95607943,,,,,
20431,5.675277778,10-08-22 11:17:31,82.32,452,0.36,0.001666667,18.70882222,,,,,
20436,5.676666667,10-08-22 11:17:36,83.56,452.42,0.42,0.001388889,26.19235426,,,,,
20441,5.678055556,10-08-22 11:17:41,87.28,452.73,0.31,0.001388889,19.33245195,,,,,
20446,5.679444444,10-08-22 11:17:46,74.87,453.14,0.41,0.001388888,25.56874519,,,,,
20451,5.680833333,10-08-22 11:17:52,91,453.48,0.34,0.001388889,21.2033344,,,,,
20457,5.6825,10-08-22 11:17:57,83.56,453.82,0.34,0.001666667,17.66944321,,,,,
20462,5.683888889,10-08-22 11:18:02,82.32,454.25,0.43,0.001388889,26.81598174,,,,,
20467,5.685277778,10-08-22 11:18:07,87.28,454.55,0.3,0.001388889,18.70882447,,,,,
20472,5.686666667,10-08-22 11:18:12,76.11,454.95,0.4,0.001388889,24.94509929,,,,,
20477,5.688055556,10-08-22 11:18:17,91,455.29,0.34,0.001388889,21.2033344,,,,,
20482,5.689444444,10-08-22 11:18:23,84.8,455.63,0.34,0.001388888,21.20334967,,,,,
20488,5.691111111,10-08-22 11:18:28,79.83,456.05,0.42,0.001666667,21.82695926,,,,,
20493,5.6925,10-08-22 11:18:33,88.52,456.36,0.31,0.001388889,19.33245195,,,,,
20498,5.693888889,10-08-22 11:18:38,82.32,456.75,0.39,0.001388889,24.32147181,,,,,
20503,5.695277778,10-08-22 11:18:43,89.76,457.12,0.37,0.001388889,23.07421685,,,,,
20508,5.696666667,10-08-22 11:18:48,84.8,457.44,0.32,0.001388889,19.95607943,,,,,
20513,5.698055556,10-08-22 11:18:54,78.59,457.87,0.43,0.001388889,26.81598174,,,,,
20519,5.699722222,10-08-22 11:18:59,88.52,458.18,0.31,0.001666666,16.11038436,,,,,
20524,5.701111111,10-08-22 11:19:04,78.59,458.55,0.37,0.001388889,23.07421685,,,,,
20529,5.7025,10-08-22 11:19:09,88.52,458.93,0.38,0.001388889,23.69784433,,,,,
20534,5.703888889,10-08-22 11:19:14,86.04,459.25,0.32,0.001388889,19.95607943,,,,,
20539,5.705277778,10-08-22 11:19:20,76.11,459.68,0.43,0.001388889,26.81598174,,,,,
20545,5.706944444,10-08-22 11:19:25,89.76,459.99,0.31,0.001666666,16.11038436,,,,,
20550,5.708333333,10-08-22 11:19:30,79.83,460.35,0.36,0.001388889,22.45058936,,,,,
20555,5.709722222,10-08-22 11:19:35,87.28,460.76,0.41,0.001388889,25.56872678,,,,,
20560,5.711111111,10-08-22 11:19:40,87.28,461.06,0.3,0.001388889,18.70882447,,,,,
20565,5.7125,10-08-22 11:19:45,76.11,461.48,0.42,0.001388889,26.19235426,,,,,
20570,5.713888889,10-08-22 11:19:51,89.76,461.81,0.33,0.001388889,20.57970692,,,,,
20576,5.715555556,10-08-22 11:19:56,82.32,462.15,0.34,0.001666667,17.66944321,,,,,
20581,5.716944444,10-08-22 11:20:01,84.8,462.57,0.42,0.001388888,26.19237312,,,,,
20586,5.718333333,10-08-22 11:20:06,87.28,462.88,0.31,0.001388889,19.33245195,,,,,
20591,5.719722222,10-08-22 11:20:11,76.11,463.29,0.41,0.001388889,25.56872678,,,,,
20596,5.721111111,10-08-22 11:20:17,89.76,463.63,0.34,0.001388889,21.2033344,,,,,
20602,5.722777778,10-08-22 11:20:22,83.56,463.96,0.33,0.001666667,17.14975371,,,,,
20607,5.724166667,10-08-22 11:20:27,81.07,464.4,0.44,0.001388889,27.43960922,,,,,
20612,5.725555556,10-08-22 11:20:32,88.52,464.71,0.31,0.001388889,19.33245195,,,,,
20617,5.726944444,10-08-22 11:20:37,77.35,465.1,0.39,0.001388888,24.32148932,,,,,
20622,5.728333333,10-08-22 11:20:42,89.76,465.46,0.36,0.001388889,22.45058936,,,,,
20627,5.729722222,10-08-22 11:20:48,84.8,465.78,0.32,0.001388889,19.95607943,,,,,
20633,5.731388889,10-08-22 11:20:53,78.59,466.21,0.43,0.001666667,22.34664877,,,,,
20638,5.732777778,10-08-22 11:20:58,88.52,466.52,0.31,0.001388889,19.33245195,,,,,
20643,5.734166667,10-08-22 11:21:03,79.83,466.9,0.38,0.001388889,23.69784433,,,,,
20648,5.735555556,10-08-22 11:21:08,88.52,467.28,0.38,0.001388889,23.69784433,,,,,
20653,5.736944444,10-08-22 11:21:14,86.04,467.59,0.31,0.001388888,19.33246587,,,,,
20659,5.738611111,10-08-22 11:21:19,77.35,468.03,0.44,0.001666667,22.86633827,,,,,
20664,5.74,10-08-22 11:21:24,89.76,468.34,0.31,0.001388889,19.33245195,,,,,
20669,5.741388889,10-08-22 11:21:29,81.07,468.71,0.37,0.001388889,23.07421685,,,,,
20674,5.742777778,10-08-22 11:21:34,87.28,469.1,0.39,0.001388889,24.32147181,,,,,
20679,5.744166667,10-08-22 11:21:39,86.04,469.41,0.31,0.001388889,19.33245195,,,,,
20684,5.745555556,10-08-22 11:21:45,74.87,469.84,0.43,0.001388889,26.81598174,,,,,
20690,5.747222222,10-08-22 11:21:50,89.76,470.16,0.32,0.001666666,16.63007418,,,,,
20695,5.748611111,10-08-22 11:21:55,82.32,470.52,0.36,0.001388889,22.45058936,,,,,
20700,5.75,10-08-22 11:22:00,86.04,470.92,0.4,0.001388889,24.94509929,,,,,
20705,5.751388889,10-08-22 11:22:05,87.28,471.22,0.3,0.001388889,18.70882447,,,,,
20710,5.752777778,10-08-22 11:22:11,76.11,471.65,0.43,0.001388889,26.81598174,,,,,
20716,5.754444444,10-08-22 11:22:16,89.76,471.99,0.34,0.001666666,17.66945381,,,,,
20721,5.755833333,10-08-22 11:22:21,83.56,472.33,0.34,0.001388889,21.2033344,,,,,
20726,5.757222222,10-08-22 11:22:26,83.56,472.76,0.43,0.001388889,26.81598174,,,,,
20731,5.758611111,10-08-22 11:22:31,88.52,473.05,0.29,0.001388889,18.08519699,,,,,
20736,5.76,10-08-22 11:22:37,77.35,473.47,0.42,0.001388889,26.19235426,,,,,
20742,5.761666667,10-08-22 11:22:42,91,473.82,0.35,0.001666667,18.18913272,,,,,
20747,5.763055556,10-08-22 11:22:47,86.04,474.15,0.33,0.001388889,20.57970692,,,,,
20752,5.764444444,10-08-22 11:22:52,81.07,474.58,0.43,0.001388888,26.81600105,,,,,
20757,5.765833333,10-08-22 11:22:57,89.76,474.88,0.3,0.001388889,18.70882447,,,,,
20762,5.767222222,10-08-22 11:23:02,78.59,475.28,0.4,0.001388889,24.94509929,,,,,
20767,5.768611111,10-08-22 11:23:08,89.76,475.64,0.36,0.001388889,22.45058936,,,,,
20773,5.770277778,10-08-22 11:23:13,86.04,475.96,0.32,0.001666667,16.6300642,,,,,
20778,5.771666667,10-08-22 11:23:18,79.83,476.39,0.43,0.001388889,26.81598174,,,,,
20783,5.773055556,10-08-22 11:23:23,91,476.7,0.31,0.001388889,19.33245195,,,,,
20788,5.774444444,10-08-22 11:23:28,79.83,477.08,0.38,0.001388888,23.69786139,,,,,
20793,5.775833333,10-08-22 11:23:33,88.52,477.46,0.38,0.001388889,23.69784433,,,,,
20798,5.777222222,10-08-22 11:23:39,86.04,477.78,0.32,0.001388889,19.95607943,,,,,
20804,5.778888889,10-08-22 11:23:44,77.35,478.21,0.43,0.001666667,22.34664877,,,,,
20809,5.780277778,10-08-22 11:23:49,91,478.52,0.31,0.001388889,19.33245195,,,,,
20814,5.781666667,10-08-22 11:23:54,81.07,478.89,0.37,0.001388889,23.07421685,,,,,
20819,5.783055556,10-08-22 11:23:59,87.28,479.29,0.4,0.001388889,24.94509929,,,,,
20824,5.784444444,10-08-22 11:24:05,87.28,479.6,0.31,0.001388888,19.33246587,,,,,
20830,5.786111111,10-08-22 11:24:10,76.11,480.02,0.42,0.001666667,21.82695926,,,,,
20835,5.7875,10-08-22 11:24:15,92.25,480.34,0.32,0.001388889,19.95607943,,,,,
20840,5.788888889,10-08-22 11:24:20,83.56,480.7,0.36,0.001388889,22.45058936,,,,,
20845,5.790277778,10-08-22 11:24:25,86.04,481.11,0.41,0.001388889,25.56872678,,,,,
20850,5.791666667,10-08-22 11:24:31,88.52,481.41,0.3,0.001388889,18.70882447,,,,,
20855,5.793055556,10-08-22 11:24:36,74.87,481.83,0.42,0.001388889,26.19235426,,,,,
20861,5.794722222,10-08-22 11:24:41,91,482.17,0.34,0.001666666,17.66945381,,,,,
20866,5.796111111,10-08-22 11:24:46,84.8,482.51,0.34,0.001388889,21.2033344,,,,,
20871,5.7975,10-08-22 11:24:51,82.32,482.93,0.42,0.001388889,26.19235426,,,,,
20876,5.798888889,10-08-22 11:24:56,88.52,483.24,0.31,0.001388889,19.33245195,,,,,
20881,5.800277778,10-08-22 11:25:02,77.35,483.64,0.4,0.001388889,24.94509929,,,,,
20887,5.801944444,10-08-22 11:25:07,89.76,483.99,0.35,0.001666666,18.18914363,,,,,
20892,5.803333333,10-08-22 11:25:12,84.8,484.32,0.33,0.001388889,20.57970692,,,,,
20897,5.804722222,10-08-22 11:25:17,78.59,484.75,0.43,0.001388889,26.81598174,,,,,
20902,5.806111111,10-08-22 11:25:22,89.76,485.06,0.31,0.001388889,19.33245195,,,,,
20907,5.8075,10-08-22 11:25:28,78.59,485.45,0.39,0.001388889,24.32147181,,,,,
20913,5.809166667,10-08-22 11:25:33,89.76,485.81,0.36,0.001666667,18.70882222,,,,,
20918,5.810555556,10-08-22 11:25:38,86.04,486.14,0.33,0.001388889,20.57970692,,,,,
20923,5.811944444,10-08-22 11:25:43,77.35,486.57,0.43,0.001388888,26.81600105,,,,,
20928,5.813333333,10-08-22 11:25:48,89.76,486.88,0.31,0.001388889,19.33245195,,,,,
20933,5.814722222,10-08-22 11:25:53,79.83,487.25,0.37,0.001388889,23.07421685,,,,,
20938,5.816111111,10-08-22 11:25:59,88.52,487.64,0.39,0.001388889,24.32147181,,,,,
20944,5.817777778,10-08-22 11:26:04,87.28,487.96,0.32,0.001666667,16.6300642,,,,,
20949,5.819166667,10-08-22 11:26:09,76.11,488.38,0.42,0.001388889,26.19235426,,,,,
20954,5.820555556,10-08-22 11:26:14,91,488.7,0.32,0.001388889,19.95607943,,,,,
20959,5.821944444,10-08-22 11:26:19,83.56,489.05,0.35,0.001388888,21.8269776,,,,,
20964,5.823333333,10-08-22 11:26:25,86.04,489.48,0.43,0.001388889,26.81598174,,,,,
20970,5.825,10-08-22 11:26:30,88.52,489.78,0.3,0.001666667,15.59068519,,,,,
20975,5.826388889,10-08-22 11:26:35,76.11,490.2,0.42,0.001388889,26.19235426,,,,,
20980,5.827777778,10-08-22 11:26:40,89.76,490.53,0.33,0.001388889,20.57970692,,,,,
20985,5.829166667,10-08-22 11:26:45,83.56,490.87,0.34,0.001388889,21.2033344,,,,,
20990,5.830555556,10-08-22 11:26:50,84.8,491.29,0.42,0.001388889,26.19235426,,,,,
20995,5.831944444,10-08-22 11:26:56,88.52,491.6,0.31,0.001388888,19.33246587,,,,,
21001,5.833611111,10-08-22 11:27:01,76.11,492.01,0.41,0.001666667,21.30726976,,,,,
21006,5.835,10-08-22 11:27:06,89.76,492.36,0.35,0.001388889,21.82696188,,,,,
21011,5.836388889,10-08-22 11:27:11,86.04,492.69,0.33,0.001388889,20.57970692,,,,,
21016,5.837777778,10-08-22 11:27:16,81.07,493.12,0.43,0.001388889,26.81598174,,,,,
21021,5.839166667,10-08-22 11:27:22,88.52,493.42,0.3,0.001388889,18.70882447,,,,,
21027,5.840833333,10-08-22 11:27:27,78.59,493.82,0.4,0.001666666,20.78759272,,,,,
21032,5.842222222,10-08-22 11:27:32,91,494.18,0.36,0.001388889,22.45058936,,,,,
21037,5.843611111,10-08-22 11:27:37,86.04,494.5,0.32,0.001388889,19.95607943,,,,,
21042,5.845,10-08-22 11:27:42,77.35,494.94,0.44,0.001388889,27.43960922,,,,,
21047,5.846388889,10-08-22 11:27:47,89.76,495.24,0.3,0.001388889,18.70882447,,,,,
21052,5.847777778,10-08-22 11:27:53,79.83,495.62,0.38,0.001388889,23.69784433,,,,,
21058,5.849444444,10-08-22 11:27:58,88.52,496.02,0.4,0.001666666,20.78759272,,,,,
21063,5.850833333,10-08-22 11:28:03,89.76,496.32,0.3,0.001388889,18.70882447,,,,,
21068,5.852222222,10-08-22 11:28:08,76.11,496.76,0.44,0.001388889,27.43960922,,,,,
21073,5.853611111,10-08-22 11:28:13,89.76,497.06,0.3,0.001388889,18.70882447,,,,,
21078,5.855,10-08-22 11:28:19,82.32,497.44,0.38,0.001388889,23.69784433,,,,,
21084,5.856666667,10-08-22 11:28:24,88.52,497.84,0.4,0.001666667,20.78758025,,,,,
21089,5.858055556,10-08-22 11:28:29,87.28,498.15,0.31,0.001388889,19.33245195,,,,,
21094,5.859444444,10-08-22 11:28:34,77.35,498.58,0.43,0.001388888,26.81600105,,,,,
21099,5.860833333,10-08-22 11:28:39,89.76,498.89,0.31,0.001388889,19.33245195,,,,,
21104,5.862222222,10-08-22 11:28:44,82.32,499.23,0.34,0.001388889,21.2033344,,,,,
21109,5.863611111,10-08-22 11:28:50,88.52,499.65,0.42,0.001388889,26.19235426,,,,,
21115,5.865277778,10-08-22 11:28:55,88.52,499.95,0.3,0.001666667,15.59068519,,,,,
21120,5.866666667,10-08-22 11:29:00,77.35,500.37,0.42,0.001388889,26.19235426,,,,,
21125,5.868055556,10-08-22 11:29:05,91,500.71,0.34,0.001388889,21.2033344,,,,,
21130,5.869444444,10-08-22 11:29:10,84.8,501.05,0.34,0.001388888,21.20334967,,,,,
21135,5.870833333,10-08-22 11:29:16,83.56,501.47,0.42,0.001388889,26.19235426,,,,,
21140,5.872222222,10-08-22 11:29:21,89.76,501.78,0.31,0.001388889,19.33245195,,,,,
21146,5.873888889,10-08-22 11:29:26,77.35,502.18,0.4,0.001666667,20.78758025,,,,,
21151,5.875277778,10-08-22 11:29:31,91,502.54,0.36,0.001388889,22.45058936,,,,,
21156,5.876666667,10-08-22 11:29:36,84.8,502.87,0.33,0.001388889,20.57970692,,,,,
21161,5.878055556,10-08-22 11:29:41,79.83,503.3,0.43,0.001388889,26.81598174,,,,,
21166,5.879444444,10-08-22 11:29:47,89.76,503.6,0.3,0.001388888,18.70883794,,,,,
21172,5.881111111,10-08-22 11:29:52,79.83,503.99,0.39,0.001666667,20.26789074,,,,,
21177,5.8825,10-08-22 11:29:57,91,504.37,0.38,0.001388889,23.69784433,,,,,
21182,5.883888889,10-08-22 11:30:02,87.28,504.69,0.32,0.001388889,19.95607943,,,,,
21187,5.885277778,10-08-22 11:30:07,77.35,505.12,0.43,0.001388889,26.81598174,,,,,
21192,5.886666667,10-08-22 11:30:12,91,505.42,0.3,0.001388889,18.70882447,,,,,
21197,5.888055556,10-08-22 11:30:18,81.07,505.8,0.38,0.001388889,23.69784433,,,,,
21203,5.889722222,10-08-22 11:30:23,89.76,506.2,0.4,0.001666666,20.78759272,,,,,
21208,5.891111111,10-08-22 11:30:28,87.28,506.51,0.31,0.001388889,19.33245195,,,,,
21213,5.8925,10-08-22 11:30:33,76.11,506.93,0.42,0.001388889,26.19235426,,,,,
21218,5.893888889,10-08-22 11:30:38,92.25,507.25,0.32,0.001388889,19.95607943,,,,,
21223,5.895277778,10-08-22 11:30:44,81.07,507.61,0.36,0.001388889,22.45058936,,,,,
21229,5.896944444,10-08-22 11:30:49,87.28,508,0.39,0.001666666,20.2679029,,,,,
21234,5.898333333,10-08-22 11:30:54,88.52,508.31,0.31,0.001388889,19.33245195,,,,,
21239,5.899722222,10-08-22 11:30:59,76.11,508.73,0.42,0.001388889,26.19235426,,,,,
21244,5.901111111,10-08-22 11:31:04,92.25,509.05,0.32,0.001388889,19.95607943,,,,,
21249,5.9025,10-08-22 11:31:09,83.56,509.4,0.35,0.001388889,21.82696188,,,,,
21254,5.903888889,10-08-22 11:31:15,86.04,509.81,0.41,0.001388889,25.56872678,,,,,
21260,5.905555556,10-08-22 11:31:20,88.52,510.12,0.31,0.001666667,16.11037469,,,,,
21265,5.906944444,10-08-22 11:31:25,76.11,510.53,0.41,0.001388888,25.56874519,,,,,
21270,5.908333333,10-08-22 11:31:30,91,510.86,0.33,0.001388889,20.57970692,,,,,
21275,5.909722222,10-08-22 11:31:35,86.04,511.21,0.35,0.001388889,21.82696188,,,,,
21280,5.911111111,10-08-22 11:31:41,82.32,511.64,0.43,0.001388889,26.81598174,,,,,
21286,5.912777778,10-08-22 11:31:46,83.56,511.95,0.31,0.001666667,16.11037469,,,,,
21291,5.914166667,10-08-22 11:31:51,77.35,512.34,0.39,0.001388889,24.32147181,,,,,
21296,5.915555556,10-08-22 11:31:56,92.25,512.71,0.37,0.001388889,23.07421685,,,,,
21301,5.916944444,10-08-22 11:32:01,84.8,513.04,0.33,0.001388888,20.57972173,,,,,
21306,5.918333333,10-08-22 11:32:06,79.83,513.45,0.41,0.001388889,25.56872678,,,,,
21311,5.919722222,10-08-22 11:32:12,89.76,513.77,0.32,0.001388889,19.95607943,,,,,
21317,5.921388889,10-08-22 11:32:17,78.59,514.15,0.38,0.001666667,19.74820124,,,,,
21322,5.922777778,10-08-22 11:32:22,89.76,514.53,0.38,0.001388889,23.69784433,,,,,
21327,5.924166667,10-08-22 11:32:27,87.28,514.84,0.31,0.001388889,19.33245195,,,,,
21332,5.925555556,10-08-22 11:32:32,77.35,515.28,0.44,0.001388889,27.43960922,,,,,
21337,5.926944444,10-08-22 11:32:38,91,515.59,0.31,0.001388888,19.33246587,,,,,
21343,5.928611111,10-08-22 11:32:43,79.83,515.96,0.37,0.001666667,19.22851173,,,,,
21348,5.93,10-08-22 11:32:48,89.76,516.35,0.39,0.001388889,24.32147181,,,,,
21353,5.931388889,10-08-22 11:32:53,87.28,516.66,0.31,0.001388889,19.33245195,,,,,
21358,5.932777778,10-08-22 11:32:58,76.11,517.09,0.43,0.001388889,26.81598174,,,,,
21363,5.934166667,10-08-22 11:33:03,92.25,517.41,0.32,0.001388889,19.95607943,,,,,
21368,5.935555556,10-08-22 11:33:09,83.56,517.76,0.35,0.001388889,21.82696188,,,,,
21374,5.937222222,10-08-22 11:33:14,87.28,518.18,0.42,0.001666666,21.82697236,,,,,
21379,5.938611111,10-08-22 11:33:19,88.52,518.48,0.3,0.001388889,18.70882447,,,,,
21384,5.94,10-08-22 11:33:24,77.35,518.9,0.42,0.001388889,26.19235426,,,,,
21389,5.941388889,10-08-22 11:33:29,91,519.24,0.34,0.001388889,21.2033344,,,,,
21394,5.942777778,10-08-22 11:33:35,83.56,519.58,0.34,0.001388889,21.2033344,,,,,
21400,5.944444444,10-08-22 11:33:40,84.8,520.01,0.43,0.001666666,22.34666218,,,,,
21405,5.945833333,10-08-22 11:33:45,88.52,520.31,0.3,0.001388889,18.70882447,,,,,
21410,5.947222222,10-08-22 11:33:50,77.35,520.71,0.4,0.001388889,24.94509929,,,,,
21415,5.948611111,10-08-22 11:33:55,92.25,521.06,0.35,0.001388889,21.82696188,,,,,
21420,5.95,10-08-22 11:34:00,86.04,521.39,0.33,0.001388889,20.57970692,,,,,
21425,5.951388889,10-08-22 11:34:06,79.83,521.83,0.44,0.001388889,27.43960922,,,,,
21431,5.953055556,10-08-22 11:34:11,89.76,522.13,0.3,0.001666667,15.59068519,,,,,
21436,5.954444444,10-08-22 11:34:16,78.59,522.52,0.39,0.001388888,24.32148932,,,,,
21441,5.955833333,10-08-22 11:34:21,91,522.9,0.38,0.001388889,23.69784433,,,,,
21446,5.957222222,10-08-22 11:34:26,87.28,523.21,0.31,0.001388889,19.33245195,,,,,
21451,5.958611111,10-08-22 11:34:32,77.35,523.65,0.44,0.001388889,27.43960922,,,,,
21457,5.960277778,10-08-22 11:34:37,89.76,523.95,0.3,0.001666667,15.59068519,,,,,
21462,5.961666667,10-08-22 11:34:42,81.07,524.32,0.37,0.001388889,23.07421685,,,,,
21467,5.963055556,10-08-22 11:34:47,88.52,524.71,0.39,0.001388889,24.32147181,,,,,
21472,5.964444444,10-08-22 11:34:52,87.28,525.03,0.32,0.001388888,19.9560938,,,,,
21477,5.965833333,10-08-22 11:34:57,77.35,525.45,0.42,0.001388889,26.19235426,,,,,
21482,5.967222222,10-08-22 11:35:03,91,525.76,0.31,0.001388889,19.33245195,,,,,
21488,5.968888889,10-08-22 11:35:08,82.32,526.13,0.37,0.001666667,19.22851173,,,,,
21493,5.970277778,10-08-22 11:35:13,87.28,526.53,0.4,0.001388889,24.94509929,,,,,
21498,5.971666667,10-08-22 11:35:18,88.52,526.83,0.3,0.001388889,18.70882447,,,,,
21503,5.973055556,10-08-22 11:35:23,76.11,527.27,0.44,0.001388889,27.43960922,,,,,
